Site,Overall_Before_Change,Overall_After_Change,Avg_End_Before,Avg_End_After,Treatments_Compared,Overall_Trajectory_Shift,Avg_End_SOMSC_Shift,Global_Site_Evaluation,End_SOMSC_Evaluation,n_increase_Before,n_decrease_Before,avg_end_Before,final_base_Before,calibration_ok_Before,result_Before,summary_path_Before,n_increase_After,n_decrease_After,avg_end_After,final_base_After,calibration_ok_After,result_After,summary_path_After,Calibration_Before,Calibration_After,Calibration_Status_Changed,Reported_Avg_End_Before,Reported_Avg_End_After,Reported_Avg_End_Delta
Agegnehu_2015,476.058,484.31800000000004,1836.1559999999997,4687.567999999999,5,8.260000000000048,2851.4119999999994,🟡 Stabilized / Slight Change,🟢 Large end-SOMSC gain,4.0,1.0,1836.15,1364.27,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-67.54%).,/Users/mac/DAYCENT/daycent_sites/sites/Agegnehu_2015/somsc_check/somsc_check_summary.txt,4.0,1.0,4687.57,491.02,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-88.32%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,1836.15,4687.57,2851.4199999999996
Anandakumar_2022,-1388.26,-2799.995,451.465,2824.0825,4,-1411.735,2372.6175,🔴 Degraded,🟢 Large end-SOMSC gain,,,451.47,1618.64,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-70.07%).,/Users/mac/DAYCENT/daycent_sites/sites/Anandakumar_2022/somsc_check/somsc_check_summary.txt,0.0,4.0,2824.08,2753.19,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-49.10%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,451.47,2824.08,2372.6099999999997
Aravindh_2023_Coimbatore,-1164.645,-2013.54,441.1825,3350.0575,4,-848.895,2908.875,🔴 Degraded,🟢 Large end-SOMSC gain,,,441.18,1608.52,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-70.01%).,/Users/mac/DAYCENT/daycent_sites/sites/Aravindh_2023_Coimbatore/somsc_check/somsc_check_summary.txt,0.0,4.0,3350.06,314.61,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-94.13%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,441.18,3350.06,2908.88
Aravindh_2023_Kovilpatt,-968.3,-1374.1475,883.1225,8738.3025,4,-405.8475000000001,7855.18,🔴 Degraded,🟢 Large end-SOMSC gain,,,883.12,1853.86,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-81.67%).,/Users/mac/DAYCENT/daycent_sites/sites/Aravindh_2023_Kovilpatt/somsc_check/somsc_check_summary.txt,0.0,4.0,8738.3,241.46,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-97.61%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,883.12,8738.3,7855.179999999999
Aulakh_2013,32.811249999999994,145.739375,1301.870625,4002.18875,16,112.928125,2700.318125,🟢 Massive Overall Fix,🟢 Large end-SOMSC gain,,,1301.87,1270.15,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-67.06%).,/Users/mac/DAYCENT/daycent_sites/sites/Aulakh_2013/somsc_check/somsc_check_summary.txt,8.0,8.0,4002.19,373.4,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-90.32%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,1301.87,4002.19,2700.32
Babu_2016,-791.6722222222222,-148.56666666666666,1326.861111111111,4542.93,9,643.1055555555556,3216.068888888889,🟢 Massive Overall Fix,🟢 Large end-SOMSC gain,,,1326.86,2121.96,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-54.77%).,/Users/mac/DAYCENT/daycent_sites/sites/Babu_2016/somsc_check/somsc_check_summary.txt,3.0,6.0,4542.93,117.34,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-97.50%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,1326.86,4542.93,3216.0700000000006
Banerjee_2018,83.41,436.6275,2101.005,5334.325,4,353.2175,3233.3199999999997,🟢 Massive Overall Fix,🟢 Large end-SOMSC gain,,,2101.0,2019.63,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-58.76%).,/Users/mac/DAYCENT/daycent_sites/sites/Banerjee_2018/somsc_check/somsc_check_summary.txt,4.0,0.0,5334.33,1725.39,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-64.77%).,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,NEEDS INVESTIGATION,False,2101.0,5334.33,3233.33
Behera_2021,-6.984999999999999,-164.995,1186.1435,2937.8485,0,-158.01,1751.7050000000002,🔴 Degraded,🟢 Large end-SOMSC gain,,,1186.14,1195.04,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-61.48%).,/Users/mac/DAYCENT/daycent_sites/sites/Behera_2021/somsc_check/somsc_check_summary.txt,5.0,15.0,2937.85,3278.64,True,OK for Calibration - Base SOMSC meets or exceeds SoilGrids observation.,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,OK,True,1186.14,2937.85,1751.7099999999998
Bhattacharya_2023,-26.634999999999998,-125.815,1224.19,3202.0975,4,-99.18,1977.9074999999998,🔴 Degraded,🟢 Large end-SOMSC gain,,,1224.19,1253.97,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-62.32%).,/Users/mac/DAYCENT/daycent_sites/sites/Bhattacharya_2023/somsc_check/somsc_check_summary.txt,0.0,4.0,3202.1,3601.26,True,OK for Calibration - Base SOMSC meets or exceeds SoilGrids observation.,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,OK,True,1224.19,3202.1,1977.9099999999999
Bhattacharyya_2018,-23.01,-263.06666666666666,1215.66,2975.2333333333336,0,-240.05666666666667,1759.5733333333335,🔴 Degraded,🟢 Large end-SOMSC gain,,,1215.66,1240.72,False,Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-61.68%).,/Users/mac/DAYCENT/daycent_sites/sites/Bhattacharyya_2018/somsc_check/somsc_check_summary.txt,0.0,3.0,2975.24,4286.82,True,OK for Calibration - Base SOMSC meets or exceeds SoilGrids observation.,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/somsc_check/somsc_check_summary.txt,NEEDS INVESTIGATION,OK,True,1215.66,2975.24,1759.5799999999997
