Site,Treatment,Full_Name_Before,Change_Before,End_Before,Full_Name_After,Change_After,End_After,_merge,Delta_Improvement,End_Value_Delta,Treatment_Evaluation
Agegnehu_2015,b10_f,agegnehu_2015_trt_b10_f_somsc,407.27,1767.36,agegnehu_2015_trt_b10_f_somsc,414.9,4618.15,both,7.6299999999999955,2850.79,🟡 Stabilized / Slight Change
Agegnehu_2015,b2_5_com25_f,agegnehu_2015_trt_b2_5_com25_f_somsc,663.17,2023.27,agegnehu_2015_trt_b2_5_com25_f_somsc,672.94,4876.19,both,9.770000000000095,2852.9199999999996,🟡 Stabilized / Slight Change
Agegnehu_2015,com25_f,agegnehu_2015_trt_com25_f_somsc,663.17,2023.27,agegnehu_2015_trt_com25_f_somsc,672.94,4876.19,both,9.770000000000095,2852.9199999999996,🟡 Stabilized / Slight Change
Agegnehu_2015,combi25_f,agegnehu_2015_trt_combi25_f_somsc,658.75,2018.85,agegnehu_2015_trt_combi25_f_somsc,668.49,4871.74,both,9.740000000000009,2852.89,🟡 Stabilized / Slight Change
Agegnehu_2015,f_ctrl,agegnehu_2015_trt_f_ctrl_somsc,-12.07,1348.03,agegnehu_2015_trt_f_ctrl_somsc,-7.68,4195.57,both,4.390000000000001,2847.54,🟡 Stabilized / Slight Change
Anandakumar_2022,anandakumar_2022_control,anandakumar_2022_control_somsc,-1197.07,444.34,anandakumar_2022_control_somsc,-2609.95,2815.82,both,-1412.8799999999999,2371.48,🔴 Degraded
Anandakumar_2022,anandakumar_2022_ic,anandakumar_2022_ic_somsc,-1194.81,446.6,anandakumar_2022_ic_somsc,-2605.87,2819.89,both,-1411.06,2373.29,🔴 Degraded
Anandakumar_2022,anandakumar_2022_inm,anandakumar_2022_inm_somsc,-1579.45,458.59,anandakumar_2022_inm_somsc,-2990.05,2832.34,both,-1410.6000000000001,2373.75,🔴 Degraded
Anandakumar_2022,anandakumar_2022_om,anandakumar_2022_om_somsc,-1581.71,456.33,anandakumar_2022_om_somsc,-2994.11,2828.28,both,-1412.4,2371.9500000000003,🔴 Degraded
Aravindh_2023_Coimbatore,aravindh_2023_coimbatore_c_1,aravindh_2023_coimbatore_c_1_somsc,-1165.56,440.26,aravindh_2023_coimbatore_c_1_somsc,-2015.02,3348.58,both,-849.46,2908.3199999999997,🔴 Degraded
